ParName   Value   Gradient
theta[1]     0.354314 -0.000443225
theta[2]     0.345231 -7.26684e-005
theta[4]      16.0533  0.000525058
theta[5]      9.58348   0.00618866
theta[13]    -0.143646 -1.11209e-006
theta[14]    -0.461284 -2.51914e-006
theta[15]     -0.16493 -1.21368e-006
theta[16]     0.559517 -1.63184e-006
theta[17]      1.18721 -5.02908e-006
theta[18]      1.49993 -7.27339e-006
theta[19]      1.39375 -6.86957e-006
theta[20]      1.47879 -7.86698e-006
theta[21]      1.55163 -4.9462e-006
theta[22]      1.63917 -6.04669e-006
theta[23]      1.53132 -4.93028e-006
theta[24]      1.52827 3.81202e-007
theta[25]       1.6998 2.63381e-005
theta[26]      1.51437 2.56538e-005
theta[27]       1.2219 2.25446e-005
theta[28]     0.690763  1.7816e-005
theta[29]   -0.0769728 1.23432e-005
theta[30]     -1.00482 4.21497e-006
theta[31]     -1.78746 3.37199e-006
theta[32]     -1.83333 2.52461e-006
theta[33]      -1.4652 4.49241e-006
theta[34]   -0.0188104 -2.55457e-007
theta[35]     0.166325 2.88179e-006
theta[36]     0.389099 1.42538e-006
theta[37]     0.569194 8.83297e-007
theta[38]       3.9808 4.29685e-005
theta[39]      1.75743 3.84151e-006
theta[40]      2.20781 9.51675e-006
theta[41]      1.78205 1.13164e-005
theta[42]      1.70426  1.1411e-005
theta[43]      1.68294 1.93505e-005
theta[44]     0.193728 7.14937e-006
theta[45]    0.0553596 4.22979e-006
theta[46]     0.734812 1.10209e-005
theta[47]     0.015846 4.93579e-006
theta[48]     -1.01664 3.76516e-006
theta[49]     -1.39322 2.68238e-006
theta[50]     -1.56588 2.68944e-006
theta[51]     -1.66088  3.5196e-006
theta[52]     -1.78145 2.53729e-006
theta[53]     -2.05854 1.53918e-006
theta[54]      -1.5315 2.77026e-006
theta[55]     -1.52363 4.30696e-006
theta[56]  0.000194208 -8.78862e-007
theta[57]  0.000419725 -2.47763e-006
theta[58]   0.00360196 6.47273e-007
theta[59]    0.0675265 -4.03313e-006
theta[60]      4.37307 -0.000100768
theta[61]    0.0373708 -2.10246e-006
theta[62]    0.0352728 -1.68788e-006
theta[63]      5.30146 -0.000213804
theta[64]     0.275812 -6.60134e-007
theta[65]    -0.553806  5.9313e-007
theta[66]    -0.599321 2.01636e-006
theta[67]    -0.497549 3.49105e-006
theta[68]     -0.46389 3.55936e-006
theta[69]    -0.396526 4.18484e-006
theta[70]    -0.361181 6.33069e-006
theta[71]    -0.490608 3.46885e-006
theta[72]    -0.506681 5.08959e-006
theta[73]    -0.520362 5.39286e-006
theta[74]    -0.531843  7.3382e-006
theta[75]    -0.543652 9.75565e-006
theta[76]    -0.575384 6.49287e-006
theta[77]    -0.901969 6.38312e-006
theta[78]     0.135288 -2.29513e-006
theta[79]    0.0740902 -2.74657e-006
theta[80]    -0.149575 -8.25709e-007
theta[81]     0.540086 -2.51476e-006
theta[82]      1.62706 -3.43172e-006
theta[83]      2.30955 1.31959e-006
theta[84]      1.06496 4.20058e-006
theta[85]    -0.182882 1.52694e-006
theta[86]    -0.896652 3.02497e-006
theta[87]     -1.38087 4.05715e-007
theta[88]     -1.56646 1.56788e-006
theta[89]      -1.5335 2.03892e-006
theta[90]     -1.58473 2.20673e-006
theta[91]     -1.59387 2.66055e-006
theta[92]     -1.61216 2.90533e-006
theta[93]     -1.63577 2.50472e-006
theta[94]     -1.65237  2.2105e-006
theta[95]      -1.6607 2.64251e-006
theta[96]     -1.66431 2.48152e-006
theta[97]     -1.66579 2.76344e-006
theta[98]     -1.66637 2.80596e-006
theta[99]     -1.66675 2.95052e-006
Grwth[1]      2.09718  0.000463563
Grwth[2]    -0.220048 -0.000947521
Grwth[4]    -0.240554 6.08717e-005
Grwth[5]    -0.301464 -0.000204786
Grwth[10]    0.0324289 -1.85687e-005
Grwth[11]    0.0542973 -2.61374e-005
Grwth[12]    0.0892757 -3.45906e-005
Grwth[13]     0.126419 -4.21532e-005
Grwth[14]     0.178696 -4.51387e-005
Grwth[15]     0.185467 -4.21332e-005
Grwth[16]     0.213667 -4.82553e-005
Grwth[17]     0.250671 -4.83476e-005
Grwth[18]     0.229377 -3.51523e-005
Grwth[19]     0.196789 -2.43283e-005
Grwth[20]     0.220859 -1.28025e-005
Grwth[21]     0.413481 -1.34259e-005
Grwth[22]     0.829252 -8.74929e-006
Grwth[23]            1 4.83468e-006
Grwth[30]     0.219163 -1.20087e-006
Grwth[31]     0.181111 -2.54946e-006
Grwth[32]     0.521499 -1.10011e-005
Grwth[33]     0.819043 -1.5966e-005
Grwth[34]     0.939962 -3.69994e-005
Grwth[35]     0.968991 -4.05946e-005
Grwth[36]     0.994276 -1.24831e-005
Grwth[37]     0.998545 -4.5399e-006
Grwth[38]     0.998397 -2.89143e-006
Grwth[39]     0.997375 4.49874e-007
log_slx_pars[1]       4.6429  -0.00206797
log_slx_pars[2]      1.51323   0.00039908
log_slx_pars[3]      4.26609 -0.000604362
log_slx_pars[4]      0.95181 8.88487e-005
log_slx_pars[5]      4.54247 -0.000131264
log_slx_pars[6]      2.12527 2.45605e-005
log_slx_pars[7]      3.79708 -7.28602e-006
log_slx_pars[8]      2.01033  9.9434e-007
log_slx_pars[9]      3.87757 -1.8931e-005
log_slx_pars[10]      1.09847 -4.27499e-006
log_slx_pars[11]      3.71739 2.70299e-005
log_slx_pars[12]      1.55066 -2.9344e-006
log_slx_pars[13]      3.87586 -2.7301e-005
log_slx_pars[14]      1.29026 -9.81742e-006
log_slx_pars[15]     -3.92562 1.10803e-006
log_slx_pars[16]     -3.92562 1.28817e-006
log_slx_pars[17]     -3.92538 -2.08978e-006
log_slx_pars[18]     -3.91821 -7.89875e-007
log_slx_pars[19]     -3.89434 -1.70879e-007
log_slx_pars[20]     -3.75023 2.34175e-006
log_slx_pars[21]     -3.38985 -7.88254e-007
log_slx_pars[22]     -2.91217 -1.87056e-007
log_slx_pars[23]     -2.46605 -1.7323e-006
log_slx_pars[24]     -2.02598 -3.17797e-007
log_slx_pars[25]     -1.83247 -4.53611e-007
log_slx_pars[26]     -1.59427 -8.25142e-007
log_slx_pars[27]      -1.1539 -3.88625e-007
log_slx_pars[28]    -0.839905 1.31389e-006
log_slx_pars[29]     -1.00687  2.6967e-007
log_slx_pars[30]     -1.43286 -1.3784e-006
log_slx_pars[31]     -1.62482 -8.37214e-007
log_slx_pars[32]     -1.68866 -8.32931e-007
log_slx_pars[33]     -1.61624  9.8981e-007
log_slx_pars[34]     -1.40616 -1.59131e-006
log_slx_pars[35]     -1.28468 1.15233e-006
log_slx_pars[36]     -1.20987 5.80274e-007
log_slx_pars[37]     -2.98916 -4.71508e-007
log_slx_pars[38]     -2.98957 -2.70695e-007
log_slx_pars[39]     -3.10409 -1.62949e-006
log_slx_pars[40]     -3.54455 -5.17449e-007
log_slx_pars[41]      -3.6355 1.38482e-006
log_slx_pars[42]     -2.65284 -4.04174e-007
log_slx_pars[43]     -2.09534  2.6344e-007
log_slx_pars[44]     -1.82186 -1.21599e-006
log_slx_pars[45]     -1.84568 8.39888e-007
log_slx_pars[46]     -1.99387 1.62566e-006
