ParName   Value   Gradient
theta[4]      16.1324  0.000266406
theta[5]      9.75347   0.00260498
theta[13]    -0.151708 -1.5819e-006
theta[14]    -0.519157 -1.9156e-006
theta[15]     -0.17434 -2.41428e-006
theta[16]      0.55136 -1.86001e-006
theta[17]      1.19282 -4.43167e-006
theta[18]       1.6884 3.76086e-006
theta[19]       1.4634 -3.83253e-006
theta[20]      1.15697 -8.3704e-006
theta[21]      1.54894 -1.17292e-005
theta[22]      1.71409 -6.47749e-006
theta[23]      1.49664 -1.47938e-006
theta[24]      1.46145 2.03474e-005
theta[25]      1.66842 3.18353e-005
theta[26]      1.58144 3.82361e-005
theta[27]      1.27839 8.08707e-006
theta[28]     0.759578 7.99895e-007
theta[29]    0.0261786 8.66102e-007
theta[30]    -0.900554 -7.07522e-007
theta[31]     -1.71969 1.40261e-006
theta[32]     -1.86909 -3.12244e-006
theta[33]     -1.51914 5.66673e-007
theta[34]   -0.0145489 -6.53714e-007
theta[35]     0.157191 -5.99684e-007
theta[36]     0.494748 -6.94431e-007
theta[37]      1.32869 -3.84492e-006
theta[38]      1.99712 -3.17846e-006
theta[39]      3.93891  1.1465e-005
theta[40]    0.0202319 8.31111e-007
theta[41]     0.217865 7.81681e-008
theta[42]       1.7552 1.21006e-005
theta[43]      1.72811 1.55441e-005
theta[44]     0.345428 4.10019e-006
theta[45]     0.126806 3.52281e-006
theta[46]     0.744407  5.9036e-006
theta[47]    0.0684399 6.86111e-006
theta[48]    -0.976816 1.80567e-006
theta[49]     -1.37671 9.71637e-007
theta[50]      -1.5726 1.00875e-006
theta[51]     -1.67539 2.08597e-006
theta[52]     -1.77597 2.51999e-006
theta[53]     -2.01979 2.11355e-006
theta[54]     -1.53011 1.72995e-006
theta[55]     -1.51696 8.30712e-007
theta[56]  0.000141671 -5.94993e-007
theta[57]  0.000385065 -9.81541e-007
theta[58]    0.0044013 -4.50228e-007
theta[59]    0.0749951 -2.12147e-007
theta[60]       4.3285 -4.67485e-005
theta[61]    0.0358175 -9.39095e-007
theta[62]     0.033543 -1.78402e-007
theta[63]       5.2687 -0.000100645
theta[64]     0.261983 -1.62478e-007
theta[65]    -0.557238 -1.33138e-006
theta[66]    -0.588662 2.83256e-007
theta[67]     -0.47921 5.08166e-007
theta[68]    -0.431418 1.02982e-006
theta[69]    -0.394237 2.52417e-006
theta[70]    -0.361971 3.34868e-006
theta[71]    -0.447008 2.49107e-006
