ParName   Value   Gradient
theta[1]     0.337443 -0.000110315
theta[2]     0.365399 -4.52523e-006
theta[4]      16.3239 2.63401e-006
theta[5]      12.5504   0.00133545
theta[13]    -0.180003 -8.92428e-007
theta[14]    -0.530168 2.38594e-007
theta[15]    -0.224739 7.59311e-008
theta[16]     0.516862 -1.71933e-007
theta[17]      1.16983  6.8732e-008
theta[18]      1.47919 -1.68859e-007
theta[19]      1.39143 -1.36908e-008
theta[20]      1.47624 -3.26363e-007
theta[21]      1.56491 -2.65143e-007
theta[22]      1.65867 1.24938e-007
theta[23]      1.52257 1.12441e-007
theta[24]      1.50199 3.35943e-007
theta[25]      1.60767 8.87651e-007
theta[26]     0.891421 -1.00106e-007
theta[27]      1.31254 -4.14024e-007
theta[28]     0.990354 -8.69661e-007
theta[29]     0.352089 -1.54605e-007
theta[30]    -0.574023 -7.5971e-007
theta[31]     -1.44982 5.69271e-008
theta[32]     -2.21516  -1.524e-007
theta[33]     -1.41791 3.46963e-007
theta[34]   -0.0160736 -2.75144e-007
theta[35]     0.162265 7.33976e-007
theta[36]     0.325534 -1.49715e-007
theta[37]     0.540068 -5.45708e-007
theta[38]      3.84529 2.32723e-006
theta[39]      1.69671 1.35149e-007
theta[40]      2.05136 4.88213e-007
theta[41]      1.45636 -7.89503e-008
theta[42]      1.70626 3.17658e-007
theta[43]      1.68107 -2.06815e-008
theta[44]   -0.0554487 -3.81752e-007
theta[45]   -0.0870277 3.39157e-008
theta[46]     0.743882 3.23374e-007
theta[47]     0.189543 -4.65984e-007
theta[48]    -0.685677 -5.21595e-007
theta[49]     -1.21467 -1.21379e-007
theta[50]     -1.49834 -2.31973e-007
theta[51]     -1.63469 -2.30872e-007
theta[52]      -1.7193 -3.19175e-007
theta[53]     -1.92328 -1.81864e-007
theta[54]     -2.16104  5.1736e-007
theta[55]     -1.48559 -1.53315e-008
theta[56]  0.000199611 2.79582e-007
theta[57]  0.000365642 -7.20574e-007
theta[58]   0.00399383 -3.93898e-007
theta[59]    0.0745931 4.62284e-007
theta[60]      4.31834 -2.38309e-007
theta[61]    0.0389225 3.46155e-007
theta[62]      0.03488 -3.28177e-007
theta[63]      5.26074 -1.64849e-006
theta[64]     0.257315 -1.8943e-007
theta[65]    -0.573378 -3.91322e-007
theta[66]    -0.611424 8.43893e-007
theta[67]    -0.508493 -5.61347e-007
theta[68]    -0.441892 5.99962e-007
theta[69]    -0.391602 -2.32476e-007
theta[70]    -0.362799 6.99645e-007
theta[71]    -0.464607 -5.46275e-007
theta[72]    -0.471396 -4.29048e-007
theta[73]    -0.477683 -4.79509e-008
theta[74]    -0.483966 -2.0045e-007
theta[75]    -0.492291 4.25902e-007
