ParName   Value   Gradient
theta[1]     0.337443 -0.000105372
theta[2]     0.365399 -4.5167e-006
theta[4]      16.3239 2.38707e-006
theta[5]      12.5504   0.00127438
theta[13]    -0.180003 -8.92429e-007
theta[14]    -0.530168 2.37499e-007
theta[15]    -0.224739 7.43474e-008
theta[16]     0.516862 -1.74445e-007
theta[17]      1.16983 6.55993e-008
theta[18]      1.47919 -1.67017e-007
theta[19]      1.39143 -1.17745e-008
theta[20]      1.47624 -3.26486e-007
theta[21]      1.56491 -2.66404e-007
theta[22]      1.65867 9.45248e-008
theta[23]      1.52257 2.59915e-008
theta[24]      1.50199 9.69404e-008
theta[25]      1.60767 3.01929e-007
theta[26]     0.891421 -1.02926e-007
theta[27]      1.31254 -3.38423e-007
theta[28]     0.990354 -7.66542e-007
theta[29]     0.352089 -7.87048e-008
theta[30]    -0.574023 -7.22594e-007
theta[31]     -1.44982 7.56901e-008
theta[32]     -2.21516 -1.42457e-007
theta[33]     -1.41791 3.73993e-007
theta[34]   -0.0160736 -2.88081e-007
theta[35]     0.162265 7.15865e-007
theta[36]     0.325534 -1.71709e-007
theta[37]     0.540068 -5.69675e-007
theta[38]      3.84529 1.78978e-006
theta[39]      1.69671 7.24213e-008
theta[40]      2.05136 3.93318e-007
theta[41]      1.45636 -1.23554e-007
theta[42]      1.70626 2.55966e-007
theta[43]      1.68107 -9.96285e-008
theta[44]   -0.0554487 -3.87372e-007
theta[45]   -0.0870277 3.90253e-008
theta[46]     0.743882 3.42726e-007
theta[47]     0.189543 -4.61758e-007
theta[48]    -0.685677 -5.05556e-007
theta[49]     -1.21467 -1.07193e-007
theta[50]     -1.49834 -2.18127e-007
theta[51]     -1.63469 -2.15683e-007
theta[52]      -1.7193 -3.04494e-007
theta[53]     -1.92328 -1.68903e-007
theta[54]     -2.16104 5.28645e-007
theta[55]     -1.48559 9.57447e-009
theta[56]  0.000199611 2.80223e-007
theta[57]  0.000365642 -7.19931e-007
theta[58]   0.00399383 -3.93235e-007
theta[59]    0.0745931  4.6315e-007
theta[60]      4.31834 -2.4845e-007
theta[61]    0.0389225 3.47096e-007
theta[62]      0.03488 -3.27085e-007
theta[63]      5.26074 -1.31673e-006
theta[64]     0.257315 -1.81866e-007
theta[65]    -0.573378 -3.80442e-007
theta[66]    -0.611424  8.6066e-007
theta[67]    -0.508493 -5.37459e-007
theta[68]    -0.441892 6.28298e-007
theta[69]    -0.391602 -1.97613e-007
theta[70]    -0.362799 7.40939e-007
theta[71]    -0.464607 -5.02605e-007
theta[72]    -0.471396 -3.79636e-007
theta[73]    -0.477683 7.50626e-009
theta[74]    -0.483966 -1.38709e-007
theta[75]    -0.492291 4.94234e-007
theta[76]    -0.519156 3.00926e-007
theta[77]    -0.805417 -3.31642e-008
theta[78]     0.144841 4.15462e-007
theta[79]    0.0877401 -5.77665e-007
theta[80]    -0.145495 -3.85514e-007
theta[81]     0.429676   1.125e-006
theta[82]      1.60552 -4.15351e-007
theta[83]      2.32218 -4.09903e-007
theta[84]      1.07301 -2.75574e-007
theta[85]    -0.171303 -7.80215e-008
theta[86]    -0.881377 -1.22482e-007
theta[87]     -1.36701 -5.07215e-007
theta[88]     -1.55189 -1.97145e-008
theta[89]     -1.51659 1.07356e-007
theta[90]     -1.56664 -3.26286e-007
theta[91]     -1.57424 4.24284e-007
theta[92]     -1.58928 -4.01058e-007
theta[93]     -1.60867 5.19563e-007
theta[94]     -1.62242 -1.33611e-007
theta[95]     -1.62935 -7.43089e-007
theta[96]     -1.63236 7.49328e-007
theta[97]      -1.6336 -4.33384e-007
theta[98]     -1.63409 3.33459e-008
theta[99]      -1.6344 4.48875e-007
Grwth[1]      2.06525 6.31796e-005
Grwth[2]    -0.221633  -0.00012637
Grwth[4]    -0.197714 1.12011e-005
Grwth[5]    -0.299496 -2.66906e-005
Grwth[10]    0.0349717 -4.33238e-006
Grwth[11]     0.058765 -5.76512e-006
Grwth[12]    0.0946662 -7.44896e-006
Grwth[13]     0.135774 -8.81886e-006
Grwth[14]     0.191251 -9.49167e-006
Grwth[15]     0.198013  -9.022e-006
Grwth[16]     0.224717 -9.86966e-006
Grwth[17]     0.260592 -8.35754e-006
Grwth[18]     0.244078 -4.27235e-006
Grwth[19]     0.205268 -2.50749e-006
Grwth[20]     0.226987 -5.11813e-007
Grwth[21]     0.454595 -4.2933e-006
Grwth[22]     0.839389 -1.30224e-006
Grwth[23]            1 1.04643e-006
Grwth[30]     0.188218 4.23829e-009
Grwth[31]     0.162569 -9.95049e-007
Grwth[32]     0.461699 3.79239e-007
Grwth[33]     0.817834 -1.08631e-006
Grwth[34]     0.938067 -3.14258e-006
Grwth[35]     0.965218 -2.74866e-006
Grwth[36]     0.995275 -1.12364e-006
Grwth[37]     0.998708  1.1383e-006
Grwth[38]     0.998534 7.18379e-007
Grwth[39]      0.99744 2.57886e-007
log_slx_pars[1]      4.62493 -0.000328314
log_slx_pars[2]      1.72921 7.21152e-005
log_slx_pars[3]        4.262 -2.40151e-005
log_slx_pars[4]     0.947173 3.34068e-006
log_slx_pars[5]      4.51257 -2.8856e-005
log_slx_pars[6]      2.10725  7.1145e-006
log_slx_pars[7]      3.74877 -3.02939e-007
log_slx_pars[8]      1.93179 6.52334e-007
log_slx_pars[9]      3.87545 -1.73865e-006
log_slx_pars[10]      1.10025 1.27855e-007
log_slx_pars[11]      3.71888 7.51001e-006
log_slx_pars[12]      1.58111 -1.43611e-007
log_slx_pars[13]      3.87743 5.30862e-006
log_slx_pars[14]      1.33805 -5.57045e-006
log_slx_pars[15]     -3.92059  4.5862e-007
log_slx_pars[16]      -3.9206 1.83427e-007
log_slx_pars[17]     -3.92038 -9.74603e-007
log_slx_pars[18]     -3.91371 -1.82591e-007
