ParName   Value   Gradient
af      1.46189   6.178e-005
am      3.67346  0.000258407
bf      1.23432 7.12012e-005
bm      1.19063  0.000724862
mateste(1)     -5.09501 9.75343e-006
mateste(2)     -4.54367 1.04622e-005
mateste(3)     -3.99234 3.92261e-005
mateste(4)      -3.4427 -5.49837e-006
mateste(5)      -2.9119 -0.000101661
mateste(6)     -2.43885 -0.000104812
mateste(7)     -2.05564 1.44455e-005
mateste(8)     -1.77237 5.41616e-005
mateste(9)     -1.60996 -8.09705e-005
mateste(10)     -1.51863 -0.000197928
mateste(11)     -1.47588 -0.000181809
mateste(12)     -1.50668 -0.000114735
mateste(13)     -1.52615 -4.87688e-005
mateste(14)     -1.38806 3.50135e-005
mateste(15)     -1.00438 3.80999e-005
mateste(16)    -0.418358  -9.134e-005
mateste(17) -1.93568e-009 -2.93485e-006
matestfe(1)     -5.12103  0.000152516
matestfe(2)     -3.97211 -9.66223e-005
matestfe(3)     -2.82319 -0.000262447
matestfe(4)     -1.68365 -0.000261828
matestfe(5)    -0.679364 -0.000120057
matestfe(6)    -0.165423 -0.000221842
matestfe(7)    -0.159607 -0.000123946
matestfe(8)   -0.0998218 -4.42727e-005
mean_log_rec_f      13.4853  -0.00011227
mean_log_rec_m      13.2409 2.03474e-005
rec_devf(1982)     -1.14549 -6.36852e-005
rec_devf(1983)   -0.0772741 -4.04297e-005
rec_devf(1984)     0.769374 -7.40281e-005
rec_devf(1985)       2.2124 3.86951e-005
rec_devf(1986)     0.833907 -0.000247433
rec_devf(1987)     0.415888  0.000234407
rec_devf(1988)    -0.363136  0.000180943
rec_devf(1989)     0.520115  0.000181534
rec_devf(1990)     0.525921 -0.000232819
rec_devf(1991)      0.99165  0.000105954
rec_devf(1992)      1.03466 -0.000112849
rec_devf(1993)     0.755291 3.66011e-005
rec_devf(1994)    -0.722722  0.000130829
rec_devf(1995)     -0.91172 -0.000217227
rec_devf(1996)    -0.812327  0.000360417
rec_devf(1997)    -0.482091 -5.32565e-005
rec_devf(1998)     -0.14914 -5.47047e-005
rec_devf(1999)    -0.849439 -4.96661e-005
rec_devf(2000)     -1.06477 -1.96783e-005
rec_devf(2001)     -1.12754  0.000123221
rec_devf(2002)     0.082104 -8.64108e-005
rec_devf(2003)     0.885891 -7.82819e-005
rec_devf(2004)    0.0421853 4.73217e-005
rec_devf(2005)    -0.159039  0.000267742
rec_devf(2006)     -1.06934 -1.06949e-006
rec_devf(2007)    -0.689913  0.000145961
rec_devf(2008)      1.34476 -7.32047e-005
rec_devf(2009)     0.103169   0.00018416
rec_devf(2010)    -0.528566 -1.97211e-005
rec_devf(2011)    -0.269286 -3.03261e-005
rec_devf(2012)    -0.249492 -2.12058e-006
rec_devf(2013)    -0.608659  -0.00032589
rec_devf(2014)     0.378936 3.05058e-005
rec_devf(2015)      1.40835 2.42549e-005
rec_devf(2016)      1.17646   0.00011673
rec_devf(2017)    -0.941152 -0.000303991
rec_devf(2018)     -1.25653 2.35155e-005
rec_devf(2019)  -0.00341492 6.28703e-005
rec_devf(2020) -1.23851e-006 1.52043e-005
rec_devm(1982)      1.09239  0.000365484
rec_devm(1983)      1.02705  0.000101948
rec_devm(1984)      1.29672  0.000599215
rec_devm(1985)      1.94714  0.000625999
rec_devm(1986)      1.39951 8.49729e-005
rec_devm(1987)      1.74615 -2.98159e-005
rec_devm(1988)     -1.60074 -0.000100751
rec_devm(1989)    -0.491034 -0.000167536
rec_devm(1990)     0.165698  4.5425e-005
rec_devm(1991)      2.35819 -0.000875453
rec_devm(1992)    0.0286322  -0.00011063
rec_devm(1993)    0.0983154  -4.855e-005
rec_devm(1994)     -1.42305 -0.000151769
rec_devm(1995)     -1.82114 -1.9459e-005
rec_devm(1996)     -1.42376  0.000168929
rec_devm(1997)     0.476806 -6.93979e-005
rec_devm(1998)    0.0478607 -1.74925e-005
rec_devm(1999)     -1.02363 -8.76346e-005
rec_devm(2000)    -0.943873 -3.60086e-005
rec_devm(2001)     0.184916 6.84498e-006
rec_devm(2002)     0.835387 -6.83019e-005
rec_devm(2003)     0.787955 -0.000120855
rec_devm(2004)     0.454279 -0.000118417
rec_devm(2005)    0.0656584  0.000174003
rec_devm(2006)     -1.43117 5.45433e-005
rec_devm(2007)    -0.984951 3.85046e-005
rec_devm(2008)     0.531048 -3.53912e-005
rec_devm(2009)     -0.54848 -5.86879e-005
rec_devm(2010)     -1.00626 9.84881e-005
rec_devm(2011)     -1.44334 -0.000136889
rec_devm(2012)    -0.705766 3.21442e-005
rec_devm(2013)     -1.31437 5.97363e-005
rec_devm(2014)    0.0286294 -9.6256e-006
rec_devm(2015)      2.28637 4.37602e-005
rec_devm(2016)      1.07617 -4.33838e-005
rec_devm(2017)    -0.859194 -2.19163e-005
rec_devm(2018)    -0.911886 6.67362e-005
rec_devm(2019)  -0.00223187 -0.000142868
rec_devm(2020) -2.14857e-006  -0.00011408
mnatlen_styr(1,1)      11.1505 -9.61505e-005
mnatlen_styr(1,2)      11.2897 1.64076e-005
mnatlen_styr(1,3)       11.631 6.93809e-005
mnatlen_styr(1,4)      12.0545 -0.000137102
mnatlen_styr(1,5)      12.3323 5.78331e-005
mnatlen_styr(1,6)      12.2719 -0.000110726
mnatlen_styr(1,7)      12.0724 -0.000248548
mnatlen_styr(1,8)       11.795    0.0003174
mnatlen_styr(1,9)      11.6557 1.43424e-005
mnatlen_styr(1,10)      11.5617   0.00045513
mnatlen_styr(1,11)      11.1802 -0.000226008
mnatlen_styr(1,12)      10.8923 -0.000206391
mnatlen_styr(1,13)      11.0557  0.000174916
mnatlen_styr(1,14)      10.8271 1.68421e-005
mnatlen_styr(1,15)      9.44782 -0.000184131
mnatlen_styr(1,16)      8.14613  0.000253206
mnatlen_styr(1,17)      7.14945 -0.000118226
mnatlen_styr(1,18)       6.4589 -4.85118e-005
mnatlen_styr(1,19)      5.97317 7.82383e-005
mnatlen_styr(1,20)       5.6205 -0.000315073
mnatlen_styr(1,21)      5.37692  0.000154132
mnatlen_styr(1,22)      5.25126  0.000148755
mnatlen_styr(2,1)       1.8687 -0.000148924
mnatlen_styr(2,2)       3.3093 5.42416e-005
mnatlen_styr(2,3)      4.74991  0.000166674
mnatlen_styr(2,4)      6.19044  0.000103627
mnatlen_styr(2,5)      7.63001 -1.58698e-005
mnatlen_styr(2,6)      9.05563 -0.000171545
mnatlen_styr(2,7)      10.2506  -0.00024519
mnatlen_styr(2,8)      11.0669 -0.000133689
mnatlen_styr(2,9)      11.5101 8.71481e-005
mnatlen_styr(2,10)      11.7009   0.00028483
mnatlen_styr(2,11)      11.7498  0.000207992
mnatlen_styr(2,12)       11.733 4.92093e-005
mnatlen_styr(2,13)      11.7131 -3.85113e-005
mnatlen_styr(2,14)      11.6767 6.22858e-005
mnatlen_styr(2,15)      11.5245  0.000188998
mnatlen_styr(2,16)      11.1981  0.000196997
mnatlen_styr(2,17)       10.566  0.000144666
mnatlen_styr(2,18)      9.68804 2.01904e-005
mnatlen_styr(2,19)      8.64121 -0.000159275
mnatlen_styr(2,20)      7.49488 -0.000213957
mnatlen_styr(2,21)      6.30485 -0.000138142
mnatlen_styr(2,22)      5.10422 8.15939e-005
fnatlen_styr(1,1)      9.39017   -9.86e-005
fnatlen_styr(1,2)      9.46856 1.95666e-005
fnatlen_styr(1,3)      9.77471 -0.000363164
fnatlen_styr(1,4)      10.4761   0.00016066
fnatlen_styr(1,5)      12.0195  0.000158257
fnatlen_styr(1,6)      13.1266  0.000136866
fnatlen_styr(1,7)      12.4487 -0.000234512
fnatlen_styr(1,8)      11.4574  0.000173171
fnatlen_styr(1,9)      10.3702 -0.000185502
fnatlen_styr(1,10)      9.16472 1.84689e-005
fnatlen_styr(1,11)      8.43235  0.000214547
fnatlen_styr(1,12)      8.10873 -9.07215e-005
fnatlen_styr(2,1)      9.40695 5.44308e-005
fnatlen_styr(2,2)      9.53157 7.86986e-005
fnatlen_styr(2,3)      9.92245 -0.000280167
fnatlen_styr(2,4)      10.8787 -4.5491e-006
fnatlen_styr(2,5)      12.4797 -0.000251021
fnatlen_styr(2,6)      13.0398 -9.29796e-005
fnatlen_styr(2,7)      12.5284   9.602e-005
fnatlen_styr(2,8)      11.5436   0.00012949
fnatlen_styr(2,9)       10.599  0.000182063
fnatlen_styr(2,10)      9.36564 -4.04111e-005
fnatlen_styr(2,11)      8.56745  0.000202926
fnatlen_styr(2,12)      8.20804 -0.000170004
log_avg_fmort    -0.107713 -1.96338e-005
fmort_dev(1982)    -0.957381 -0.000171909
fmort_dev(1983)     -1.50622 -7.61925e-005
fmort_dev(1984)    -0.830036 -0.000168262
fmort_dev(1985)    -0.344287 -0.000112438
fmort_dev(1986)    0.0562129 -0.000177842
fmort_dev(1987)     0.835639 4.21791e-005
fmort_dev(1988)     0.900266   0.00023933
fmort_dev(1989)     0.630482 2.54999e-005
fmort_dev(1990)      1.40694 -8.69684e-005
fmort_dev(1991)      1.54013 6.11738e-006
fmort_dev(1992)      1.12258 1.23525e-005
fmort_dev(1993)     0.595088 -1.51251e-005
fmort_dev(1994)     0.286192 8.27879e-005
fmort_dev(1995)     0.110692  8.4274e-005
fmort_dev(1996)     -0.24986 -3.73287e-005
fmort_dev(1997)     0.126774 6.88752e-006
fmort_dev(1998)     0.289603 -4.05438e-005
fmort_dev(1999)     -1.02622 -2.89016e-005
fmort_dev(2000)    -0.999558 -2.34381e-005
fmort_dev(2001)    -0.327497 -3.73515e-005
fmort_dev(2002)    -0.493346 -6.34631e-005
fmort_dev(2003)     -1.04797 -5.31826e-005
fmort_dev(2004)     -1.11222 -3.59503e-005
fmort_dev(2005)    -0.496969 -3.33716e-006
fmort_dev(2006)    -0.425965 -1.48016e-005
fmort_dev(2007)    -0.147752 -9.18877e-005
fmort_dev(2008)    -0.591417 7.62752e-005
fmort_dev(2009)     -1.02643  0.000187013
fmort_dev(2010)    -0.908948 7.69225e-005
fmort_dev(2011)    -0.032573  0.000116317
fmort_dev(2012)     0.395735 1.87557e-005
fmort_dev(2013)     0.528569 6.54073e-005
fmort_dev(2014)     0.899174  0.000138878
fmort_dev(2015)     0.831272  0.000181978
fmort_dev(2016)     0.533455  0.000130028
fmort_dev(2017)     0.512855 8.84269e-005
fmort_dev(2018)     0.910068 -9.60346e-005
fmort_dev(2019)    0.0129168 -0.000253103
log_avg_fmortdf     -5.68285 -0.000278865
fmortdf_dev(1982)    -0.104903 -8.70075e-005
fmortdf_dev(1983)    -0.158058 -0.000289389
fmortdf_dev(1984)   -0.0877014 -1.09545e-005
fmortdf_dev(1985)   -0.0580651 8.10088e-005
fmortdf_dev(1986)   -0.0059794 -0.000115705
fmortdf_dev(1987)     -0.10402 -6.01938e-005
fmortdf_dev(1988)    -0.295911 -7.26888e-005
fmortdf_dev(1989)    -0.293917  0.000106039
fmortdf_dev(1990)    -0.201693  0.000266977
fmortdf_dev(1991)   -0.0349513 6.91967e-005
fmortdf_dev(1992)     0.613878 -0.000802253
fmortdf_dev(1993)     0.256962 5.92166e-005
fmortdf_dev(1994)    0.0224038 -0.000141871
fmortdf_dev(1995)    -0.331372 -0.000139416
fmortdf_dev(1996)     0.131326  0.000440387
fmortdf_dev(1997)    -0.292873 -0.000781814
fmortdf_dev(1998)    -0.187102   0.00010821
fmortdf_dev(1999)    -0.159296  0.000110998
fmortdf_dev(2000)    -0.125954 -6.43495e-005
fmortdf_dev(2001)    -0.109781  4.1196e-005
fmortdf_dev(2002)   -0.0752239  0.000260685
fmortdf_dev(2003)   -0.0755699  0.000109716
fmortdf_dev(2004)   -0.0771288  0.000234048
fmortdf_dev(2005)    -0.114595 -0.000161369
fmortdf_dev(2006)    -0.177295 -0.000118632
fmortdf_dev(2007)    -0.149935  0.000283883
fmortdf_dev(2008)    -0.142989 -8.20496e-005
fmortdf_dev(2009)    -0.110076 5.58878e-005
fmortdf_dev(2010)    -0.149756  -0.00015175
fmortdf_dev(2011)      1.37584 2.15962e-005
fmortdf_dev(2012)    -0.109952  0.000106996
fmortdf_dev(2013)     0.235227  0.000303774
fmortdf_dev(2014)      1.45297 -9.26727e-005
fmortdf_dev(2015)     0.330811 -0.000113051
fmortdf_dev(2016)   -0.0473546 -0.000109219
fmortdf_dev(2017)     -0.10872 -4.64725e-005
fmortdf_dev(2018)     -0.22241  0.000242531
fmortdf_dev(2019)    -0.306835  0.000297053
log_avg_fmortt     -4.82992  0.000350404
fmortt_dev_era1(1982)   -0.0893014  0.000399224
fmortt_dev_era1(1983)    -0.146636 6.76645e-005
fmortt_dev_era1(1984)    -0.231079  0.000157826
fmortt_dev_era1(1985)    -0.283339  0.000109692
fmortt_dev_era1(1986)       1.0573 -4.52281e-005
fmortt_dev_era1(1987)    -0.590292 -0.000119257
fmortt_dev_era1(1988)    0.0765837 -6.52238e-005
fmortt_dev_era1(1989)   0.00419649 -1.82873e-005
fmortt_dev_era1(1990)    -0.422182 -1.54445e-006
fmortt_dev_era1(1991)     0.624749 -2.61458e-005
fmortt_dev_era2(1992)     0.726425 -8.27016e-005
fmortt_dev_era2(1993)     0.945018 -6.58427e-005
fmortt_dev_era2(1994)      2.00137 -9.50989e-005
fmortt_dev_era2(1995)     0.793918  -0.00012317
fmortt_dev_era2(1996)    -0.133912 -0.000235886
fmortt_dev_era2(1997)    0.0919083 -0.000239824
fmortt_dev_era2(1998)    0.0842465 -0.000110446
fmortt_dev_era2(1999)      0.11653 -5.13609e-005
fmortt_dev_era2(2000)     0.155419 1.36116e-006
fmortt_dev_era2(2001)   -0.0645931  0.000231442
fmortt_dev_era2(2002)    -0.403624  0.000256772
fmortt_dev_era2(2003)     0.529209 -5.95369e-007
fmortt_dev_era2(2004)     0.793875 -0.000497409
fmortt_dev_era2(2005)    -0.204519  0.000384076
fmortt_dev_era2(2006)     0.640027 4.17265e-005
fmortt_dev_era2(2007)    -0.244796 -0.000139388
fmortt_dev_era2(2008)    -0.628246 -0.000165859
fmortt_dev_era2(2009)    -0.131513  0.000219808
fmortt_dev_era2(2010)    -0.816343 -0.000149193
fmortt_dev_era2(2011)    -0.714892 -0.000366143
fmortt_dev_era2(2012)    -0.432793  0.000363235
fmortt_dev_era2(2013)    -0.504858  0.000312099
fmortt_dev_era2(2014)    -0.450123  0.000205528
fmortt_dev_era2(2015)    -0.398128 -0.000160885
fmortt_dev_era2(2016)    -0.421905  0.000134399
fmortt_dev_era2(2017)    -0.470235  0.000356974
fmortt_dev_era2(2018)    -0.531607  0.000259571
fmortt_dev_era2(2019)    -0.325859 -0.000184736
Fem_F_prop_constant          0.5            0
log_avg_sel50_mn      4.65435  0.000142674
fish_slope_mn      0.19992  0.000244698
fish_fit_slope_mn     0.468087 6.08767e-005
fish_fit_sel50_mn       96.247 -3.22786e-005
fish_disc_slope_f     0.270354 -0.000337332
fish_disc_sel50_f      4.23762 -8.79139e-006
fish_disc_slope_tf    0.0863554 -8.46941e-005
fish_disc_sel50_tf      107.127  0.000102529
srv2_q     0.464856  0.000117119
srv2_q_f      0.65817 4.05838e-005
srv2_sel95      62.8863 -7.31262e-005
srv2_sel50      42.5837 -2.45405e-005
srv3_q     0.780731 2.12486e-005
srv3_sel95      54.1887 -0.000143573
srv3_sel50      37.0794  0.000126919
srv3_q_f            1 -1.49726e-005
srv3_sel95_f      49.4042 -0.000185306
srv3_sel50_f      37.4498  -3.672e-005
srvind_q     0.999999 7.16201e-006
srvind_q_f     0.140478  0.000122707
srvind_sel95_f      48.2098 1.97786e-006
srvind_sel50_f      47.7094 -6.60008e-006
srv10ind_q     0.913955 -1.52663e-005
srv10ind_q_f            1 -1.1406e-005
selsmo10ind(1)      19.9974 1.62771e-005
selsmo10ind(2)      19.9972 2.76582e-005
selsmo10ind(3)      19.9971 2.39722e-006
selsmo10ind(4)      19.9969 4.20489e-006
selsmo10ind(5)      19.9968 1.22102e-005
selsmo10ind(6)      19.9966 1.88653e-005
selsmo10ind(7)      19.9966 -9.12994e-006
selsmo10ind(8)      19.9965 7.53013e-006
selsmo10ind(9)      19.9965 -4.02815e-005
selsmo10ind(10)      19.9965 -1.24026e-005
selsmo10ind(11)      19.9966 1.00502e-005
selsmo10ind(12)      19.9968 -2.67577e-005
selsmo10ind(13)       19.997 -2.18627e-005
selsmo10ind(14)      19.9973 -6.92555e-007
selsmo10ind(15)      19.9975 6.09239e-006
selsmo10ind(16)      19.9979 -2.08368e-005
selsmo10ind(17)      19.9982 5.86331e-005
selsmo10ind(18)      19.9985 -1.16631e-005
selsmo10ind(19)      19.9988  5.9233e-005
selsmo10ind(20)      19.9991 1.44411e-005
selsmo10ind(21)      19.9994 1.86032e-005
selsmo10ind(22)      19.9996 -8.30535e-006
selsmo09ind(1)     -10.0863 -0.000172606
selsmo09ind(2)     -8.86667 9.39566e-005
selsmo09ind(3)     -7.64742  0.000197999
selsmo09ind(4)     -6.43253  0.000139523
selsmo09ind(5)     -5.23708 -7.28427e-005
selsmo09ind(6)     -4.10523 -0.000184191
selsmo09ind(7)      -3.1118 -0.000258262
selsmo09ind(8)     -2.36363 -0.000189211
selsmo09ind(9)     -1.90666 -0.000162064
selsmo09ind(10)     -1.60917 -0.000140461
selsmo09ind(11)     -1.39608 -0.000155982
selsmo09ind(12)     -1.15025 -0.000150029
selsmo09ind(13)    -0.828398 -0.000117082
selsmo09ind(14)    -0.571172 -3.39271e-005
selsmo09ind(15)      -0.5863 3.99942e-005
selsmo09ind(16)     -0.85308 5.30647e-005
selsmo09ind(17)     -1.15423 8.26188e-005
selsmo09ind(18)     -1.30481 3.04679e-005
selsmo09ind(19)     -1.25561 8.55524e-005
selsmo09ind(20)     -1.04973 5.44953e-005
selsmo09ind(21)    -0.773762 6.17117e-005
selsmo09ind(22)    -0.472742 -2.79027e-005
Mmult_imat      1.14048 4.74788e-005
Mmult      1.11292 -9.72626e-005
Mmultf      1.48888 5.01385e-005
cpueq   0.00143597 1.56712e-006
