fishery,stat_area,vessels,landings,live_number,live_lbs,deadloss_number,deadloss_lbs,effort,cpue,avg_wt,price_lbs
TR19,615601,1,2,0,0,,,10,0,,
TR19,615630,2,4,485,3427.62,,,212,2.287735849,7.067257732,9.097607384
TR19,625600,6,8,448,3108.83,1,1.55,110,4.081818182,6.927349666,9.035323313
TR19,625630,6,9,2848,20780.5,4,26.89,540,5.281481481,7.295718794,9.031299072
TR19,635530,2,2,2,14,,,45,0.044444444,7,9
TR19,635600,40,81,128666,896969.94,232,1582.59,8388,15.36695279,6.97103547,9.011770748
TR19,635630,39,68,59707,421337.52,155,1059.09,4527,13.22332671,7.056172697,9.007075781
TR19,635700,1,1,0,0,,,20,0,,
TR19,645530,2,3,11,76,,,13,0.846153846,6.909090909,9.1
TR19,645600,50,100,173221,1254044.35,525,3892.66,10973,15.83395607,7.240091916,9.005744271
TR19,645630,47,86,164685,1182794.56,319,2311.22,9540,17.29601677,7.182285157,9.005574736
TR19,655630,1,1,20,141.68,,,80,0.25,7.084,9
QB19,695530,2,5,4529,18367.27,93,374.51,275,16.80727273,4.054906967,6.510000178
QB19,695600,2,4,11505,55049.92,263,1254.54,1415,8.316607774,4.784539429,6.437501046
QB19,705530,2,5,8811,35711.13,161,667.69,474,18.92827004,4.054705751,6.437499881
QB19,705600,1,2,3655,14523.68,92,368.26,138,27.15217391,3.974363491,6.074999928
QB19,735730,1,1,77,326,2,10,31,2.548387097,4.253164557,6.8
QB19,745730,1,1,10,43,,,10,1,4.3,6.8
SB19,745830,1,1,1,4,,,9,0.111111111,4,6.8
SB19,755830,1,1,0,0,,,5,0,,
SB19,775830,1,1,571,2615,17,79,109,5.394495413,4.581632653,6.8
SB19,775900,1,1,10,48,,,40,0.25,4.8,6.8
SB19,775930,1,1,2,9,,,11,0.181818182,4.5,6.8
SB19,785830,1,1,468,2142,14,65,109,4.422018349,4.578838174,6.8
SB19,785900,1,1,120,547,4,18,59,2.101694915,4.556451613,6.8
SB19,785930,1,1,0,0,,,18,0,,
SB19,786000,1,1,0,0,,,50,0,,
SB19,786030,1,1,0,0,,,10,0,,
OB19,695200,2,11,14653,60858.42,105,442.4,442,33.38914027,4.153734923,4.555079032
OB19,695238,2,13,26272,110539.88,196,820.2,797,33.20953576,4.207347741,4.558752667
OB19,695239,2,15,36496,153547.22,287,1207.26,798,46.09398496,4.207228339,4.540057409
OB19,695240,1,1,686,2971.56,3,12.69,39,17.66666667,4.331277213,4.5
OB19,695301,2,14,26255,110449.8,206,862.34,964,27.44917012,4.206649031,4.553409579
OB19,695302,2,13,26570,112012.7,207,870.93,616,43.46915584,4.215693692,4.558757986
OB19,705200,2,24,98955,406317.87,690,2840.43,2751,36.22137405,4.106159868,4.907060432
OB19,705232,2,29,267581,1120382.49,2018,8453.17,7417,36.34879331,4.187091421,4.899147018
OB19,705233,2,7,5539,22925.35,58,237.21,252,22.21031746,4.138388422,4.675833374
OB19,705234,1,1,814,3450.72,3,14.72,17,48.05882353,4.241664627,4.5
OB19,705300,2,17,23178,97795.53,174,731.84,789,29.59695817,4.21922619,4.541953774
OB19,715130,1,14,18065,78903.12,397,1731.16,578,31.94117647,4.367580977,4.5
OB19,715201,2,10,8682,35387.8,55,223.23,206,42.41262136,4.075887604,5.102857143
OB19,715202,3,36,162937,687693.42,2293,9854.71,5452,30.30630961,4.221679659,4.659571998
OB19,715231,3,34,56416,242462.72,1063,4618.33,1758,32.69567691,4.298631674,4.673772283
OB19,715232,3,30,72986,309722.63,1245,5361.44,1608,46.16355721,4.24464267,4.664415586
OB19,725130,1,10,15382,67357.2,317,1389.56,534,29.3988764,4.379053443,4.5
OB19,725201,2,18,112791,492103.92,2448,10694.9,3261,35.33854646,4.363096,4.5
OB19,725203,1,16,6936,30326.08,157,694.53,264,26.86742424,4.373411814,4.5
OB19,725230,1,12,12861,56096.82,298,1306.75,513,25.65107212,4.362304886,4.5
OB19,735201,1,7,2329,10126.21,54,227.51,119,20.02521008,4.34482585,4.500000189
OB19,735230,1,10,9988,43490.54,230,1012.69,500,20.436,4.355375807,4.5
RB19,745131,1,2,180,870,14,65,47,4.127659574,4.819587629,4.5
RB19,765100,1,2,1805,7638.88,28,113.32,70,26.18571429,4.22924168,4.5
RB19,765132,1,5,4979,21622.24,72,306.88,140,36.07857143,4.341540289,4.5
RB19,765141,2,2,220,938,1,5,46,4.804347826,4.266968326,4.5
RB19,765144,2,4,875,4015.08,10,43.96,89,9.943820225,4.586485876,4.5
RB19,765203,2,4,402,1718,6,26,115,3.547826087,4.274509804,4.5
RB19,765204,2,5,1375,5986.04,23,95.99,149,9.382550336,4.350522175,4.5
RB19,775131,1,9,6906,29499.16,118,499.92,354,19.84180791,4.270939636,4.5
RB19,775133,1,3,536,2242,13,54,49,11.20408163,4.182149362,4.5
RB19,775134,1,5,942,3954,20,87,98,9.816326531,4.200623701,4.5
RB19,775135,1,3,455,1929,11,47,48,9.708333333,4.240343348,4.5
RB19,775137,1,1,504,2107,3,12,51,9.941176471,4.179487179,4.5
RB19,775138,2,5,1157,5045.08,17,69.96,95,12.35789474,4.35693356,4.5
RB19,785102,1,12,25328,107415.6,386,1659.51,1275,20.16784314,4.241856965,4.5
RB19,785103,1,8,3325,14180.66,52,219.99,183,18.45355191,4.264332248,4.5
RB19,785131,1,12,35258,150402.78,578,2437.11,1319,27.16906748,4.264981862,4.5
RB19,785132,1,10,5093,21455.82,91,388.56,260,19.93846154,4.21380787,4.5
RB19,785134,1,12,14019,59118.64,218,920.73,677,21.0295421,4.217136335,4.5
RB19,785135,1,6,3263,13654,66,276,297,11.20875421,4.184439772,4.5
RB19,795102,1,8,7912,35290.16,127,546.92,343,23.43731778,4.457902724,4.5
