=========================================================================
Parameter Value(s)
-------------------------------------------------------------------------
"Year: 2020,2019,2018"
"Species Name: OPILIO TANNER CRAB"
=========================================================================
"Year","Trip Join","Haul Join","NMFS Area","Gear","Gear Description","Performance","Performance Description","Official Total Catch (mt)","Vessel","Vessel Length (ft)","IFQ Flag","Duration (Min)","Bottom Depth (Fathoms)","Fishing Depth (Fathoms)","Lat DD Start","Lon DD Start","Lat DD End","Lon DD End","T Table","Cruise","Permit","Haul Seq","Haul","Haul Date","Sample Type","% Retained","Date of Entry","Species Code","Species Name","Sex","Sample Size","Sample Number","Sample Weight (kg)","Extrapolated Number","Extrapolated Weight (kg)","Received from NORPAC","Loaded to Repository"
2018,'22781005822000000057','22781005822000003500',513,1,NON PELAGIC,1,NO PROBLEM,10.73,A639,120,N,211.8,34,34,57.86667,-167.31667,57.93333,-166.96667,ATL,22781,5822,3500,796,23-AUG-18,B,0,23-AUG-18,5,"OPILIO TANNER CRAB",M,263,2,.85,80,34.14,13-JUL-20,15-JUL-20
2018,'22937002134000000065','22937002134000004096',524,1,NON PELAGIC,1,NO PROBLEM,19.5,A110,219,N,195,39,39,58.69,-170.2,58.64333,-170.56333,ATL,22937,2134,4096,816,07-SEP-18,B,0,07-SEP-18,5,"OPILIO TANNER CRAB",M,250,3,.19,234,14.81,13-JUL-20,15-JUL-20
2018,'22937002134000000066','22937002134000004350',524,1,NON PELAGIC,1,NO PROBLEM,8.86,A110,219,N,370.8,40,40,58.92667,-170.50167,58.55667,-170.505,ATL,22937,2134,4350,919,03-OCT-18,B,0,03-OCT-18,5,"OPILIO TANNER CRAB",M,219,6,.72,243,29.13,13-JUL-20,15-JUL-20
2018,'22781005822000000057','22781005822000003520',524,1,NON PELAGIC,1,NO PROBLEM,10.22,A639,120,N,237,38,38,58.46667,-169.95,58.28333,-170.16667,ATL,22781,5822,3520,806,25-AUG-18,B,0,25-AUG-18,5,"OPILIO TANNER CRAB",F,284,1,.1,36,3.6,13-JUL-20,15-JUL-20
2018,'22937002134000000066','22937002134000004292',524,1,NON PELAGIC,1,NO PROBLEM,5.51,A110,219,N,268.2,36,36,59.23833,-170.73833,59.50167,-170.67,ATL,22937,2134,4292,894,27-SEP-18,B,0,27-SEP-18,5,"OPILIO TANNER CRAB",M,213,3,.28,76,7.12,13-JUL-20,15-JUL-20
2018,'22937002134000000066','22937002134000004296',524,1,NON PELAGIC,1,NO PROBLEM,26.26,A110,219,N,270,38,38,59.04,-170.58,58.79667,-170.36667,ATL,22937,2134,4296,896,27-SEP-18,B,0,27-SEP-18,5,"OPILIO TANNER CRAB",M,504,8,.98,417,51.1,13-JUL-20,15-JUL-20
2018,'22937002134000000066','22937002134000004306',524,1,NON PELAGIC,1,NO PROBLEM,20.25,A110,219,N,184.8,37,37,58.84833,-170.5,59.02833,-170.445,ATL,22937,2134,4306,901,28-SEP-18,B,0,28-SEP-18,5,"OPILIO TANNER CRAB",M,365,2,.27,111,14.98,13-JUL-20,15-JUL-20
2018,'22937002134000000065','22937002134000004156',524,1,NON PELAGIC,1,NO PROBLEM,16.3,A110,219,N,300,41,41,58.84,-170.31,58.64333,-170.7,ATL,22937,2134,4156,837,13-SEP-18,B,0,13-SEP-18,5,"OPILIO TANNER CRAB",F,265,1,.06,62,3.69,13-JUL-20,15-JUL-20
2018,'22937002134000000065','22937002134000004168',524,1,NON PELAGIC,1,NO PROBLEM,14.01,A110,219,N,210,37,37,58.87333,-170.36,58.695,-170.13667,ATL,22937,2134,4168,842,14-SEP-18,B,0,14-SEP-18,5,"OPILIO TANNER CRAB",M,231,4,.31,243,18.84,13-JUL-20,15-JUL-20
2018,'22937002134000000065','22937002134000004170',524,1,NON PELAGIC,1,NO PROBLEM,21.1,A110,219,N,439.8,38,38,58.97833,-170.16833,58.71167,-170.17833,ATL,22937,2134,4170,2069,14-SEP-18,B,0,14-SEP-18,5,"OPILIO TANNER CRAB",M,376,1,.06,56,3.37,13-JUL-20,15-JUL-20
