ParName   Value   Gradient
af    -0.353666  6.1179e-005
am      3.49314  0.000519571
bf      1.30732  1.1536e-005
bm      1.19637   0.00165405
bf1            1 -1.26355e-005
deltaf      38.1102 -1.42439e-005
mateste(1)     -5.10205 4.68332e-005
mateste(2)      -4.5479 -4.58723e-005
mateste(3)     -3.99376 -9.75952e-005
mateste(4)     -3.44117 -9.28534e-005
mateste(5)     -2.90742 -1.15493e-005
mateste(6)      -2.4337 8.57809e-006
mateste(7)       -2.054 5.39461e-005
mateste(8)     -1.77722 3.44935e-005
mateste(9)     -1.61683 1.14749e-005
mateste(10)     -1.51415 -1.4844e-005
mateste(11)     -1.45797  -9.549e-006
mateste(12)     -1.48194 1.03256e-005
mateste(13)     -1.48883 -8.15281e-006
mateste(14)     -1.32694 -1.2357e-005
mateste(15)      -0.9286 3.36081e-005
mateste(16)     -0.35758  0.000169625
mateste(17) -1.68428e-009 -2.73213e-006
matestfe(1)     -4.90817 3.94455e-005
matestfe(2)     -3.81397 -3.4482e-005
matestfe(3)     -2.71979 -6.25697e-005
matestfe(4)     -1.63618 -3.18204e-005
matestfe(5)     -0.69008 -4.93631e-005
matestfe(6)    -0.210585 -3.44927e-005
matestfe(7)    -0.197226 2.25657e-005
matestfe(8)    -0.069919 5.13571e-005
mean_log_rec_f      13.4769 -2.36078e-005
mean_log_rec_m      13.2874  0.000196115
rec_devf(1982)     -1.16302 2.56923e-005
rec_devf(1983)    -0.126469 -2.8382e-005
rec_devf(1984)     0.733041 -3.4895e-005
rec_devf(1985)      2.19053 5.53013e-005
rec_devf(1986)      0.75109 -0.000137159
rec_devf(1987)     0.482508 -9.19447e-005
rec_devf(1988)    -0.404804  0.000169401
rec_devf(1989)     0.516804 -1.84873e-005
rec_devf(1990)     0.429233 -6.33362e-005
rec_devf(1991)     0.981248 6.95562e-006
rec_devf(1992)     0.989394 -4.03003e-006
rec_devf(1993)     0.767609 4.55307e-005
rec_devf(1994)    -0.744404  0.000254933
rec_devf(1995)    -0.934467 -8.08468e-005
rec_devf(1996)    -0.789938 -9.23962e-005
rec_devf(1997)    -0.589346 3.85994e-005
rec_devf(1998)    -0.176239 -4.85407e-005
rec_devf(1999)    -0.879637  0.000143029
rec_devf(2000)     -1.09729 -0.000133303
rec_devf(2001)     -1.16417 9.34054e-005
rec_devf(2002)    0.0146924 -3.76066e-005
rec_devf(2003)     0.902773 -9.23104e-006
rec_devf(2004)    -0.179411 1.30645e-005
rec_devf(2005)   -0.0220569  0.000101999
rec_devf(2006)     -1.21195 -0.000321284
rec_devf(2007)    -0.786093 5.69962e-005
rec_devf(2008)      1.38013 1.30554e-005
rec_devf(2009)     0.146646 -3.89368e-005
rec_devf(2010)    -0.433948 -0.000110294
rec_devf(2011)    -0.186794 5.78854e-005
rec_devf(2012)   -0.0780505 -6.75391e-006
rec_devf(2013)    -0.534241 3.37969e-005
rec_devf(2014)       0.6016 7.53353e-005
rec_devf(2015)       1.4009 3.86057e-005
rec_devf(2016)      1.33333 -9.30596e-006
rec_devf(2017)    -0.907898  9.2312e-005
rec_devf(2018)     -1.21129 3.92999e-005
rec_devf(2019) -2.49047e-006 -0.000103101
rec_devm(1982)      1.05256 6.39552e-005
rec_devm(1983)     0.963027  0.000250151
rec_devm(1984)      1.19645  0.000331373
rec_devm(1985)      1.94869   0.00023934
rec_devm(1986)      1.14296 -4.05852e-005
rec_devm(1987)      1.74233 -0.000128412
rec_devm(1988)      -1.6375 6.66519e-005
rec_devm(1989)    -0.476786 -9.55715e-005
rec_devm(1990)    -0.265428 -7.85249e-006
rec_devm(1991)      2.25803   0.00024499
rec_devm(1992)     0.508538 -4.82274e-005
