ParName   Value   Gradient
log_avg_fmort    0.0192494     0.114817
fmort_dev(1982)    -0.938886   -0.0616016
fmort_dev(1983)     -1.51301   -0.0677575
fmort_dev(1984)    -0.842086   -0.0647155
fmort_dev(1985)    -0.338695  -0.00916716
fmort_dev(1986)      0.11356   -0.0456104
fmort_dev(1987)     0.927506    0.0700834
fmort_dev(1988)     0.929771   -0.0606983
fmort_dev(1989)     0.606652    -0.407005
fmort_dev(1990)      1.35502     0.402039
fmort_dev(1991)      1.51911    -0.297302
fmort_dev(1992)      1.16702      0.10703
fmort_dev(1993)     0.631916     0.254201
fmort_dev(1994)     0.396755   -0.0480859
fmort_dev(1995)     0.245448    0.0192732
fmort_dev(1996)     -0.21041     0.016607
fmort_dev(1997)     0.137048   -0.0367157
fmort_dev(1998)      0.30293     0.115194
fmort_dev(1999)      -1.0112   -0.0236424
fmort_dev(2000)    -0.960479   -0.0294482
fmort_dev(2001)    -0.243717   -0.0215458
fmort_dev(2002)    -0.419668   -0.0354807
fmort_dev(2003)     -1.01834   -0.0428811
fmort_dev(2004)     -1.09425   -0.0431298
fmort_dev(2005)    -0.449981   -0.0410704
fmort_dev(2006)    -0.349657   -0.0502425
fmort_dev(2007)   -0.0909426   -0.0208255
fmort_dev(2008)    -0.584966   -0.0324881
fmort_dev(2009)     -1.05018   -0.0302846
fmort_dev(2010)    -0.946324   -0.0433163
fmort_dev(2011)   -0.0594939   -0.0657905
fmort_dev(2012)     0.413521   -0.0392495
fmort_dev(2013)     0.546381   -0.0602134
fmort_dev(2014)     0.930892   -0.0429749
fmort_dev(2015)     0.883748   -0.0544345
fmort_dev(2016)     0.529203   -0.0561465
fmort_dev(2017)      0.40731   -0.0552957
fmort_dev(2018)     0.078484   -0.0431161
log_avg_fmortdf -0.000101314 2.56517e-005
fmortdf_dev(1982)    -0.305596    0.0781037
fmortdf_dev(1983)    -0.289729     0.137437
fmortdf_dev(1984)    -0.182968    -0.033506
fmortdf_dev(1985)    -0.113856   -0.0604889
fmortdf_dev(1986)   -0.0306787   -0.0363529
fmortdf_dev(1987)   -0.0734637   -0.0559059
fmortdf_dev(1988)    -0.269136    0.0413153
fmortdf_dev(1989)     -0.28436   -0.0191234
fmortdf_dev(1990)    -0.204955    0.0216459
fmortdf_dev(1991)   -0.0377365     -0.08316
fmortdf_dev(1992)      0.62523  -0.00194812
fmortdf_dev(1993)     0.278612   -0.0199604
fmortdf_dev(1994)    0.0436448    -0.191343
fmortdf_dev(1995)    -0.290364      0.19757
fmortdf_dev(1996)     0.197266    -0.012881
fmortdf_dev(1997)    -0.238048   -0.0449668
fmortdf_dev(1998)    -0.119959   -0.0539283
fmortdf_dev(1999)   -0.0980477     0.105135
fmortdf_dev(2000)   -0.0762998   -0.0303038
fmortdf_dev(2001)   -0.0759509    0.0113988
fmortdf_dev(2002)   -0.0635778    0.0111984
fmortdf_dev(2003)   -0.0990878   -0.0657893
fmortdf_dev(2004)   -0.0874027   -0.0636267
fmortdf_dev(2005)    -0.130718  -0.00512423
fmortdf_dev(2006)    -0.184568   0.00639088
fmortdf_dev(2007)    -0.148527   -0.0282048
fmortdf_dev(2008)    -0.151149   -0.0217254
fmortdf_dev(2009)    -0.120299    0.0451655
fmortdf_dev(2010)    -0.143218   -0.0295993
fmortdf_dev(2011)      1.36876   0.00103208
fmortdf_dev(2012)    -0.146128    0.0697197
fmortdf_dev(2013)      0.18439     0.061968
fmortdf_dev(2014)      1.39313  -0.00189408
fmortdf_dev(2015)     0.287278    0.0407026
fmortdf_dev(2016)   -0.0660138    0.0341026
fmortdf_dev(2017)    -0.109599    0.0662318
fmortdf_dev(2018)    -0.236876   -0.0605014
log_avg_fmortt     -4.14901    -0.453669
fmortt_dev_era1(1982)   -0.0257123     0.030586
fmortt_dev_era1(1983)    -0.103147    0.0319303
fmortt_dev_era1(1984)    -0.225432    0.0252205
fmortt_dev_era1(1985)    -0.321712    0.0608812
fmortt_dev_era1(1986)      1.22279   -0.0881143
fmortt_dev_era1(1987)    -0.894841    0.0333968
fmortt_dev_era1(1988)    0.0946048   -0.0257463
fmortt_dev_era1(1989)   0.00478951   -0.0152159
fmortt_dev_era1(1990)    -0.477182    0.0723671
fmortt_dev_era1(1991)     0.725842   -0.0809593
fmortt_dev_era2(1992)     0.871907   -0.0293434
fmortt_dev_era2(1993)      1.11555   -0.0157355
fmortt_dev_era2(1994)      2.20689    -0.960656
fmortt_dev_era2(1995)      1.03848    0.0122082
fmortt_dev_era2(1996)    0.0458413    0.0508835
fmortt_dev_era2(1997)     0.245812  -0.00443549
fmortt_dev_era2(1998)     0.240225    0.0452219
fmortt_dev_era2(1999)       0.3635    0.0606115
fmortt_dev_era2(2000)     0.472245    0.0538006
fmortt_dev_era2(2001)     0.241464     0.052188
fmortt_dev_era2(2002)    -0.539388    0.0582357
fmortt_dev_era2(2003)     0.875559    0.0569387
fmortt_dev_era2(2004)      1.09339    0.0556543
fmortt_dev_era2(2005)   -0.0237214     0.046219
fmortt_dev_era2(2006)     0.980049    0.0526739
fmortt_dev_era2(2007)   -0.0772666    0.0371578
fmortt_dev_era2(2008)    -0.765028    0.0495296
fmortt_dev_era2(2009)    0.0409923    0.0211081
fmortt_dev_era2(2010)      -1.1635    0.0620481
fmortt_dev_era2(2011)     -1.06936    0.0431614
fmortt_dev_era2(2012)    -0.629529    0.0421068
fmortt_dev_era2(2013)    -0.908474    0.0682843
fmortt_dev_era2(2014)    -0.773733    0.0572573
fmortt_dev_era2(2015)    -0.749229     0.040012
fmortt_dev_era2(2016)    -0.916653    0.0433055
fmortt_dev_era2(2017)     -1.02658    0.0639114
fmortt_dev_era2(2018)     -1.18944    0.0539173
